champ,wr,pr,npick
Gragas,0.5244618395303327,0.3353018372703412,2555.0
RekSai,0.4832618025751073,0.30577427821522307,2330.0
Braum,0.4836879432624113,0.27755905511811024,2115.0
Elise,0.5055690072639225,0.270997375328084,2065.0
Thresh,0.5226209048361935,0.25236220472440946,1923.0
Maokai,0.5096774193548387,0.2440944881889764,1860.0
Lucian,0.4756787330316742,0.23202099737532808,1768.0
Corki,0.48853211009174313,0.22887139107611548,1744.0
Sivir,0.5249702734839476,0.22073490813648294,1682.0
Karma,0.4595744680851064,0.2158792650918635,1645.0
Alistar,0.4910988336402701,0.2137795275590551,1629.0
Ashe,0.5050890585241731,0.2062992125984252,1572.0
Varus,0.492948717948718,0.2047244094488189,1560.0
LeeSin,0.4701850582590816,0.1914698162729659,1459.0
Ezreal,0.47964113181504486,0.19015748031496063,1449.0
Graves,0.47424135497529996,0.18595800524934383,1417.0
Jhin,0.5079941860465116,0.1805774278215223,1376.0
Lulu,0.46822498173849525,0.17965879265091864,1369.0
Shen,0.5007462686567165,0.17585301837270342,1340.0
Orianna,0.4786910197869102,0.17244094488188977,1314.0
Kalista,0.5459418070444104,0.17139107611548557,1306.0
Gnar,0.5003872966692486,0.1694225721784777,1291.0
Viktor,0.44381107491856675,0.16115485564304463,1228.0
JarvanIV,0.5132365499573015,0.1536745406824147,1171.0
Nautilus,0.4918032786885246,0.1520997375328084,1159.0
Rumble,0.4995625546806649,0.15,1143.0
Caitlyn,0.4982363315696649,0.14881889763779527,1134.0
Trundle,0.5217006200177148,0.14816272965879265,1129.0
Khazix,0.5097087378640777,0.13517060367454067,1030.0
Syndra,0.5246727089627392,0.13031496062992126,993.0
Cassiopeia,0.527114967462039,0.120997375328084,922.0
Azir,0.5483870967741935,0.11797900262467191,899.0
Ryze,0.5039637599093998,0.11587926509186351,883.0
Janna,0.5326460481099656,0.11456692913385827,873.0
Tristana,0.49824150058616645,0.11194225721784777,853.0
Leblanc,0.5100354191263282,0.11115485564304461,847.0
Poppy,0.4863258026159334,0.11036745406824147,841.0
TahmKench,0.5121951219512195,0.10761154855643044,820.0
Nidalee,0.5406451612903226,0.10170603674540682,775.0
Ekko,0.4860927152317881,0.09908136482939632,755.0
Taliyah,0.5250338294993234,0.09698162729658792,739.0
Zyra,0.4958904109589041,0.09580052493438321,730.0
Ahri,0.5029411764705882,0.08923884514435695,680.0
Bard,0.531437125748503,0.08766404199475065,668.0
Malzahar,0.5877742946708464,0.08372703412073491,638.0
Nami,0.4638364779874214,0.08346456692913386,636.0
Renekton,0.4589905362776025,0.08320209973753281,634.0
Vladimir,0.4754358161648177,0.08280839895013123,631.0
Rengar,0.5194805194805194,0.08083989501312336,616.0
Morgana,0.5294117647058824,0.07808398950131233,595.0
Lissandra,0.5,0.07664041994750656,584.0
KogMaw,0.4751286449399657,0.07650918635170603,583.0
Sejuani,0.5017241379310344,0.07611548556430446,580.0
Jayce,0.4542314335060449,0.07598425196850393,579.0
Fiora,0.5009345794392523,0.07020997375328084,535.0
Xayah,0.48863636363636365,0.06929133858267716,528.0
Gangplank,0.5137254901960784,0.06692913385826772,510.0
Irelia,0.5,0.06010498687664042,458.0
Galio,0.484304932735426,0.05853018372703412,446.0
Kennen,0.4593967517401392,0.05656167979002625,431.0
Hecarim,0.4672897196261682,0.05616797900262467,428.0
Kassadin,0.5,0.05590551181102362,426.0
Camille,0.571764705882353,0.0557742782152231,425.0
Kindred,0.43719806763285024,0.05433070866141732,414.0
Olaf,0.48346055979643765,0.0515748031496063,393.0
Rakan,0.4856396866840731,0.05026246719160105,383.0
Zed,0.576271186440678,0.046456692913385826,354.0
Fizz,0.5370919881305638,0.044225721784776906,337.0
Chogath,0.5122699386503068,0.04278215223097113,326.0
TwistedFate,0.5065359477124183,0.04015748031496063,306.0
Zac,0.59,0.03937007874015748,300.0
Annie,0.5283687943262412,0.03700787401574803,282.0
Taric,0.5071428571428571,0.03674540682414698,280.0
Twitch,0.5625,0.03359580052493438,256.0
Jinx,0.466403162055336,0.03320209973753281,253.0
Kled,0.5179282868525896,0.03293963254593176,251.0
Zilean,0.5220883534136547,0.03267716535433071,249.0
MissFortune,0.4533898305084746,0.030971128608923884,236.0
Ivern,0.5497835497835498,0.03031496062992126,231.0
Jax,0.49777777777777776,0.02952755905511811,225.0
Vayne,0.4811320754716981,0.027821522309711286,212.0
Blitzcrank,0.5656565656565656,0.025984251968503937,198.0
Evelynn,0.4011627906976744,0.02257217847769029,172.0
Leona,0.46060606060606063,0.021653543307086614,165.0
Malphite,0.47058823529411764,0.020078740157480315,153.0
Swain,0.4900662251655629,0.019816272965879265,151.0
Nunu,0.5266666666666666,0.01968503937007874,150.0
Soraka,0.5205479452054794,0.01916010498687664,146.0
Xerath,0.4485294117647059,0.01784776902887139,136.0
Anivia,0.4961832061068702,0.017191601049868766,131.0
Ziggs,0.47107438016528924,0.015879265091863517,121.0
Sion,0.5378151260504201,0.015616797900262467,119.0
DrMundo,0.3177570093457944,0.014041994750656168,107.0
Talon,0.4716981132075472,0.013910761154855643,106.0
Urgot,0.5188679245283019,0.013910761154855643,106.0
Yasuo,0.5,0.013648293963254593,104.0
Lux,0.43,0.013123359580052493,100.0
Quinn,0.5747126436781609,0.01141732283464567,87.0
AurelionSol,0.6428571428571429,0.011023622047244094,84.0
Vi,0.5443037974683544,0.01036745406824147,79.0
Diana,0.569620253164557,0.01036745406824147,79.0
Ornn,0.5970149253731343,0.00879265091863517,67.0
Draven,0.484375,0.008398950131233596,64.0
Shyvana,0.4126984126984127,0.00826771653543307,63.0
Rammus,0.6190476190476191,0.00826771653543307,63.0
Katarina,0.3559322033898305,0.007742782152230971,59.0
Brand,0.5178571428571429,0.007349081364829396,56.0
Riven,0.5,0.007086614173228346,54.0
Warwick,0.49056603773584906,0.006955380577427821,53.0
Velkoz,0.5384615384615384,0.0068241469816272965,52.0
Sona,0.38,0.006561679790026247,50.0
Darius,0.5,0.006561679790026247,50.0
Karthus,0.4883720930232558,0.005643044619422572,43.0
Veigar,0.4878048780487805,0.005380577427821522,41.0
Pantheon,0.4146341463414634,0.005380577427821522,41.0
Kayle,0.3333333333333333,0.005118110236220472,39.0
Illaoi,0.5,0.0049868766404199474,38.0
Kayn,0.42857142857142855,0.004593175853018373,35.0
Nocturne,0.53125,0.004199475065616798,32.0
Singed,0.5806451612903226,0.004068241469816273,31.0
Udyr,0.48,0.0032808398950131233,25.0
Zoe,0.5833333333333334,0.0031496062992125984,24.0
Mordekaiser,0.5882352941176471,0.002230971128608924,17.0
Skarner,0.47058823529411764,0.002230971128608924,17.0
Akali,0.4166666666666667,0.0015748031496062992,12.0
Nasus,0.4,0.0013123359580052493,10.0
XinZhao,0.6666666666666666,0.0011811023622047244,9.0
Fiddlesticks,0.2222222222222222,0.0011811023622047244,9.0
Yorick,0.25,0.0010498687664041995,8.0
Aatrox,0.42857142857142855,0.0009186351706036745,7.0
Shaco,0.42857142857142855,0.0009186351706036745,7.0
Amumu,0.2857142857142857,0.0009186351706036745,7.0
Teemo,0.16666666666666666,0.0007874015748031496,6.0
Heimerdinger,0.6666666666666666,0.0007874015748031496,6.0
MasterYi,0.3333333333333333,0.0007874015748031496,6.0
Volibear,0.0,0.0005249343832020997,4.0
MonkeyKing,0.5,0.0005249343832020997,4.0
Garen,0.0,0.00026246719160104987,2.0
FiddleSticks,0.5,0.00026246719160104987,2.0
Tryndamere,1.0,0.00013123359580052493,1.0
